##### Model Configuration #####
objective: binary:logistic
base_score: None
booster: None
callbacks: None
colsample_bylevel: None
colsample_bynode: None
colsample_bytree: None
device: cuda
early_stopping_rounds: None
enable_categorical: False
eval_metric: logloss
feature_types: None
gamma: None
grow_policy: None
importance_type: None
interaction_constraints: None
learning_rate: None
max_bin: None
max_cat_threshold: None
max_cat_to_onehot: None
max_delta_step: None
max_depth: 5
max_leaves: None
min_child_weight: None
missing: nan
monotone_constraints: None
multi_strategy: None
n_estimators: 100
n_jobs: -1
num_parallel_tree: None
random_state: None
reg_alpha: None
reg_lambda: None
sampling_method: None
scale_pos_weight: None
subsample: None
tree_method: hist
validate_parameters: None
verbosity: 0
seed: 0

##### logloss #####
Epoch 1: 0.2641208757931383
Epoch 2: 0.2430600689893419
Epoch 3: 0.22954529593108405
Epoch 4: 0.22143401232680424
Epoch 5: 0.21578095270828768
Epoch 6: 0.2121234764381957
Epoch 7: 0.21004965747140167
Epoch 8: 0.20876051126746759
Epoch 9: 0.20765614891293602
Epoch 10: 0.20728822095562893
Epoch 11: 0.20667877130940193
Epoch 12: 0.2065097011863069
Epoch 13: 0.20646855997824362
Epoch 14: 0.20659978215143837
Epoch 15: 0.2069760506493594
Epoch 16: 0.20723248808379385
Epoch 17: 0.2069557846397419
Epoch 18: 0.2065960850851627
Epoch 19: 0.20688702678764012
Epoch 20: 0.2070986485186393
Epoch 21: 0.207173813471604
Epoch 22: 0.20748374852132428
Epoch 23: 0.2076127359730182
Epoch 24: 0.2076742362411378
Epoch 25: 0.20778005145839415
Epoch 26: 0.2079325762091347
Epoch 27: 0.2079347600554928
Epoch 28: 0.20790388413677952
Epoch 29: 0.20785596164980266
Epoch 30: 0.20779514438122398
Epoch 31: 0.20789702813024483
Epoch 32: 0.20790986571016468
Epoch 33: 0.2084818794088788
Epoch 34: 0.20862830684096753
Epoch 35: 0.20902654810254992
Epoch 36: 0.20968716997551065
Epoch 37: 0.2099795549627724
Epoch 38: 0.20976530739498486
Epoch 39: 0.20980204799719018
Epoch 40: 0.20974430562681998
Epoch 41: 0.20957951257263208
Epoch 42: 0.20997014447843443
Epoch 43: 0.21040173987195057
Epoch 44: 0.2105017909162331
Epoch 45: 0.21084322906242356
Epoch 46: 0.2110440063275541
Epoch 47: 0.21131158590132834
Epoch 48: 0.2114838609048775
Epoch 49: 0.21166189740749444
Epoch 50: 0.21195244104749383
Epoch 51: 0.2122312455696248
Epoch 52: 0.21243273648511457
Epoch 53: 0.2127162153527341
Epoch 54: 0.21320334525833892
Epoch 55: 0.21346361169913292
Epoch 56: 0.2135022169119649
Epoch 57: 0.21395607447164777
Epoch 58: 0.21375960472593486
Epoch 59: 0.21404726052205195
Epoch 60: 0.21417050588820558
Epoch 61: 0.21440249414389423
Epoch 62: 0.21473998657084742
Epoch 63: 0.21528295924705843
Epoch 64: 0.21545228127249436
Epoch 65: 0.21557876388563035
Epoch 66: 0.21603386446291742
Epoch 67: 0.21591297007011684
Epoch 68: 0.21615060270081912
Epoch 69: 0.21622348966211646
Epoch 70: 0.21642869533791337
Epoch 71: 0.21678605335523296
Epoch 72: 0.2167378667385259
Epoch 73: 0.2167757610762874
Epoch 74: 0.21658093460559794
Epoch 75: 0.2164723807642549
Epoch 76: 0.2166374381081584
Epoch 77: 0.2164054873665116
Epoch 78: 0.21660015806168845
Epoch 79: 0.21675640555116746
Epoch 80: 0.2167044692380465
Epoch 81: 0.2168799588923315
Epoch 82: 0.2170538080817225
Epoch 83: 0.2173667346350212
Epoch 84: 0.21783740985498373
Epoch 85: 0.21800744459335045
Epoch 86: 0.21798350538995245
Epoch 87: 0.21779699980386716
Epoch 88: 0.21788440429925537
Epoch 89: 0.2181408095996364
Epoch 90: 0.21849784965674465
Epoch 91: 0.218580323062639
Epoch 92: 0.2188501051992537
Epoch 93: 0.21884063552511138
Epoch 94: 0.21898845716041646
Epoch 95: 0.21913387475820964
Epoch 96: 0.2192989421914609
Epoch 97: 0.21957493628319455
Epoch 98: 0.21974577043305854
Epoch 99: 0.22002110560660607
Epoch 100: 0.2198313550572209
