nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)
ic| args.xfns: ['startlocation', 'closest_11_players']

Train DataSet: (39046, 65), Test DataSet: (12406, 65)
Train Dataset: {(False,): 31605, (True,): 7441}, Test Dataset: {(False,): 9954, (True,): 2452}

[0]	validation_0-logloss:0.44985
[1]	validation_0-logloss:0.42717
[2]	validation_0-logloss:0.41230
[3]	validation_0-logloss:0.40327
[4]	validation_0-logloss:0.39628
[5]	validation_0-logloss:0.39135
[6]	validation_0-logloss:0.38801
[7]	validation_0-logloss:0.38506
[8]	validation_0-logloss:0.38237
[9]	validation_0-logloss:0.38082
[10]	validation_0-logloss:0.37944
[11]	validation_0-logloss:0.37842
[12]	validation_0-logloss:0.37691
[13]	validation_0-logloss:0.37612
[14]	validation_0-logloss:0.37506
[15]	validation_0-logloss:0.37446
[16]	validation_0-logloss:0.37258
[17]	validation_0-logloss:0.37130
[18]	validation_0-logloss:0.37075
[19]	validation_0-logloss:0.36976
[20]	validation_0-logloss:0.36888
[21]	validation_0-logloss:0.36796
[22]	validation_0-logloss:0.36729
[23]	validation_0-logloss:0.36685
[24]	validation_0-logloss:0.36624
[25]	validation_0-logloss:0.36532
[26]	validation_0-logloss:0.36498
[27]	validation_0-logloss:0.36411
[28]	validation_0-logloss:0.36353
[29]	validation_0-logloss:0.36299
[30]	validation_0-logloss:0.36228
[31]	validation_0-logloss:0.36182
[32]	validation_0-logloss:0.36148
[33]	validation_0-logloss:0.36142
[34]	validation_0-logloss:0.36099
[35]	validation_0-logloss:0.36096
[36]	validation_0-logloss:0.36054
[37]	validation_0-logloss:0.35925
[38]	validation_0-logloss:0.35949
[39]	validation_0-logloss:0.35917
[40]	validation_0-logloss:0.35812
[41]	validation_0-logloss:0.35771
[42]	validation_0-logloss:0.35735
[43]	validation_0-logloss:0.35697
[44]	validation_0-logloss:0.35669
[45]	validation_0-logloss:0.35635
[46]	validation_0-logloss:0.35601
[47]	validation_0-logloss:0.35540
[48]	validation_0-logloss:0.35538
[49]	validation_0-logloss:0.35500
[50]	validation_0-logloss:0.35500
[51]	validation_0-logloss:0.35464
[52]	validation_0-logloss:0.35429
[53]	validation_0-logloss:0.35439
[54]	validation_0-logloss:0.35440
[55]	validation_0-logloss:0.35403
[56]	validation_0-logloss:0.35411
[57]	validation_0-logloss:0.35391
[58]	validation_0-logloss:0.35393
[59]	validation_0-logloss:0.35374
[60]	validation_0-logloss:0.35344
[61]	validation_0-logloss:0.35317
[62]	validation_0-logloss:0.35339
[63]	validation_0-logloss:0.35306
[64]	validation_0-logloss:0.35298
[65]	validation_0-logloss:0.35298
[66]	validation_0-logloss:0.35251
[67]	validation_0-logloss:0.35150
[68]	validation_0-logloss:0.35126
[69]	validation_0-logloss:0.35118
[70]	validation_0-logloss:0.35127
[71]	validation_0-logloss:0.35122
[72]	validation_0-logloss:0.35124
[73]	validation_0-logloss:0.35126
[74]	validation_0-logloss:0.35106
[75]	validation_0-logloss:0.35121
[76]	validation_0-logloss:0.35115
[77]	validation_0-logloss:0.35130
[78]	validation_0-logloss:0.35111
[79]	validation_0-logloss:0.35116
[80]	validation_0-logloss:0.35135
[81]	validation_0-logloss:0.35113
[82]	validation_0-logloss:0.35137
[83]	validation_0-logloss:0.35113
[84]	validation_0-logloss:0.35125
[85]	validation_0-logloss:0.35126
[86]	validation_0-logloss:0.35150
[87]	validation_0-logloss:0.35174
[88]	validation_0-logloss:0.35174
[89]	validation_0-logloss:0.35183
[90]	validation_0-logloss:0.35182
[91]	validation_0-logloss:0.35189
[92]	validation_0-logloss:0.35188
[93]	validation_0-logloss:0.35229
[94]	validation_0-logloss:0.35232
[95]	validation_0-logloss:0.35230
[96]	validation_0-logloss:0.35246
[97]	validation_0-logloss:0.35229
[98]	validation_0-logloss:0.35260
[99]	validation_0-logloss:0.35248
########## Train Metrics ##########
{'precision': 0.8154162000746548, 'recall': 0.5871522644805806, 'f1': 0.6827095866864599, 'log_loss': 0.25399757031049336, 'brier': 0.0769628959184648, 'roc_auc': 0.9370636073333394}

########## Test Metrics ##########
{'precision': 0.6333549643088904, 'recall': 0.39804241435562804, 'f1': 0.4888554971199599, 'log_loss': 0.3629507227241271, 'brier': 0.1149001395539741, 'roc_auc': 0.8519511736041254}

