##### Model Configuration #####
objective: binary:logistic
base_score: None
booster: None
callbacks: None
colsample_bylevel: None
colsample_bynode: None
colsample_bytree: None
device: cuda
early_stopping_rounds: None
enable_categorical: False
eval_metric: logloss
feature_types: None
gamma: None
grow_policy: None
importance_type: None
interaction_constraints: None
learning_rate: None
max_bin: None
max_cat_threshold: None
max_cat_to_onehot: None
max_delta_step: None
max_depth: 5
max_leaves: None
min_child_weight: None
missing: nan
monotone_constraints: None
multi_strategy: None
n_estimators: 100
n_jobs: -1
num_parallel_tree: None
random_state: None
reg_alpha: None
reg_lambda: None
sampling_method: None
scale_pos_weight: None
subsample: None
tree_method: hist
validate_parameters: None
verbosity: 0
seed: 0

##### logloss #####
Epoch 1: 0.2705861764913485
Epoch 2: 0.2518212202454651
Epoch 3: 0.2393703599297054
Epoch 4: 0.23140814450739974
Epoch 5: 0.2266153411193251
Epoch 6: 0.22334265485215127
Epoch 7: 0.2209947630197821
Epoch 8: 0.21971516740578734
Epoch 9: 0.21844593867988693
Epoch 10: 0.21766723851302444
Epoch 11: 0.21791480920657935
Epoch 12: 0.21794705725562366
Epoch 13: 0.21836443312034468
Epoch 14: 0.21806876217176072
Epoch 15: 0.21785026874659147
Epoch 16: 0.21813279469706184
Epoch 17: 0.21849767823313648
Epoch 18: 0.21850736269762527
Epoch 19: 0.21899631946659487
Epoch 20: 0.21923610226471196
Epoch 21: 0.21967143697289107
Epoch 22: 0.21972394656215852
Epoch 23: 0.21949038176365654
Epoch 24: 0.21967353315600022
Epoch 25: 0.2203035753316314
Epoch 26: 0.22072988240753041
Epoch 27: 0.22112890037091773
Epoch 28: 0.22126776723393266
Epoch 29: 0.22151760015360625
Epoch 30: 0.22148401301047704
Epoch 31: 0.22178569404371368
Epoch 32: 0.22201870464840273
Epoch 33: 0.22193202558054057
Epoch 34: 0.2219659616287068
Epoch 35: 0.2221913727956273
Epoch 36: 0.2230334670900304
Epoch 37: 0.22356456461050708
Epoch 38: 0.22370336907499896
Epoch 39: 0.2237672489491964
Epoch 40: 0.2240800189158865
Epoch 41: 0.22419063042532253
Epoch 42: 0.22430457701674328
Epoch 43: 0.22410403441680757
Epoch 44: 0.2245572167335079
Epoch 45: 0.22463945943428287
Epoch 46: 0.2250227167088629
Epoch 47: 0.22548977936338618
Epoch 48: 0.22557107723366782
Epoch 49: 0.22606787609045093
Epoch 50: 0.22633648223060163
Epoch 51: 0.22617772419271553
Epoch 52: 0.22648542900934188
Epoch 53: 0.22672586164492162
Epoch 54: 0.22697996448160676
Epoch 55: 0.2272784166885066
Epoch 56: 0.22732385520510237
Epoch 57: 0.2275913546539352
Epoch 58: 0.2285020697451624
Epoch 59: 0.2285765843770564
Epoch 60: 0.22873791975011915
Epoch 61: 0.2292634882052398
Epoch 62: 0.22953287366070446
Epoch 63: 0.22953894621808194
Epoch 64: 0.22957185542914274
Epoch 65: 0.22970829486112285
Epoch 66: 0.22980802816367865
Epoch 67: 0.22995540358843475
Epoch 68: 0.23021894188237596
Epoch 69: 0.23018889798682038
Epoch 70: 0.2300284505749899
Epoch 71: 0.22998505106010267
Epoch 72: 0.23010418625250662
Epoch 73: 0.23011833079741226
Epoch 74: 0.23082088428042033
Epoch 75: 0.23107455416624673
Epoch 76: 0.23143129206650492
Epoch 77: 0.23135620064191773
Epoch 78: 0.23164464600985726
Epoch 79: 0.2321196166713881
Epoch 80: 0.23199347639489928
Epoch 81: 0.23260804583172937
Epoch 82: 0.23261830218493085
Epoch 83: 0.2326159078294733
Epoch 84: 0.23311528915001056
Epoch 85: 0.23340874210587761
Epoch 86: 0.23334552633069702
Epoch 87: 0.23338827108766075
Epoch 88: 0.23353772631004052
Epoch 89: 0.2335200905175186
Epoch 90: 0.23351992340945327
Epoch 91: 0.23362469107536185
Epoch 92: 0.23387200274400677
Epoch 93: 0.23383709738495462
Epoch 94: 0.23414875914437688
Epoch 95: 0.23468865726610275
Epoch 96: 0.2347636461794837
Epoch 97: 0.23500243578125804
Epoch 98: 0.23503225589082063
Epoch 99: 0.23498223481243927
Epoch 100: 0.2354354374739226
