##### Model Configuration #####
objective: binary:logistic
base_score: None
booster: None
callbacks: None
colsample_bylevel: None
colsample_bynode: None
colsample_bytree: None
device: cuda
early_stopping_rounds: None
enable_categorical: False
eval_metric: logloss
feature_types: None
gamma: None
grow_policy: None
importance_type: None
interaction_constraints: None
learning_rate: None
max_bin: None
max_cat_threshold: None
max_cat_to_onehot: None
max_delta_step: None
max_depth: 5
max_leaves: None
min_child_weight: None
missing: nan
monotone_constraints: None
multi_strategy: None
n_estimators: 100
n_jobs: -1
num_parallel_tree: None
random_state: None
reg_alpha: None
reg_lambda: None
sampling_method: None
scale_pos_weight: None
subsample: None
tree_method: hist
validate_parameters: None
verbosity: 0
seed: 0

##### logloss #####
Epoch 1: 0.4386974903193234
Epoch 2: 0.40931241062211016
Epoch 3: 0.39201023155267656
Epoch 4: 0.3788073332243326
Epoch 5: 0.3697737360418453
Epoch 6: 0.3639207673920903
Epoch 7: 0.35741917154919856
Epoch 8: 0.353030424766128
Epoch 9: 0.3497175536701568
Epoch 10: 0.3473509566894185
Epoch 11: 0.34485792776703283
Epoch 12: 0.3427912997097378
Epoch 13: 0.34094974616132245
Epoch 14: 0.33964454816134404
Epoch 15: 0.33849938267665447
Epoch 16: 0.3370420275195818
Epoch 17: 0.33599113450145945
Epoch 18: 0.3349918763841611
Epoch 19: 0.33356776113211084
Epoch 20: 0.3327881272822301
Epoch 21: 0.33214291878585395
Epoch 22: 0.33181744591075396
Epoch 23: 0.33083053137382634
Epoch 24: 0.33031330400619957
Epoch 25: 0.32941077427673854
Epoch 26: 0.32864823150658673
Epoch 27: 0.32797808941427165
Epoch 28: 0.32701694110535723
Epoch 29: 0.32694959350074276
Epoch 30: 0.3264915276140588
Epoch 31: 0.3257313878190863
Epoch 32: 0.3254380630203818
Epoch 33: 0.32510864096026654
Epoch 34: 0.32366074276183254
Epoch 35: 0.32320541575976297
Epoch 36: 0.322741882402522
Epoch 37: 0.3219654019792858
Epoch 38: 0.32159650567702136
Epoch 39: 0.32121450067700513
Epoch 40: 0.3206942074571509
Epoch 41: 0.3202361469625832
Epoch 42: 0.3199109614741924
Epoch 43: 0.319570628741943
Epoch 44: 0.3185431428768949
Epoch 45: 0.3173337611584583
Epoch 46: 0.31712641669191716
Epoch 47: 0.31667133853648194
Epoch 48: 0.3164712912696955
Epoch 49: 0.31603559136410286
Epoch 50: 0.3156061034449126
Epoch 51: 0.31556778223144677
Epoch 52: 0.31558669585825605
Epoch 53: 0.31526862679346523
Epoch 54: 0.31492383297102833
Epoch 55: 0.3139310801404492
Epoch 56: 0.31339274638748826
Epoch 57: 0.3131941147194557
Epoch 58: 0.3123444222365241
Epoch 59: 0.31163400477481107
Epoch 60: 0.3113743536183129
Epoch 61: 0.3113502491967791
Epoch 62: 0.31095333510013573
Epoch 63: 0.3109429666847387
Epoch 64: 0.3110180117888637
Epoch 65: 0.310763490620308
Epoch 66: 0.31011686412714157
Epoch 67: 0.3099997153736744
Epoch 68: 0.30996179331891716
Epoch 69: 0.3097332966992934
Epoch 70: 0.3093803891694178
Epoch 71: 0.3091905903423411
Epoch 72: 0.30932105510960406
Epoch 73: 0.3090167036210034
Epoch 74: 0.30896890168418845
Epoch 75: 0.30837772615066966
Epoch 76: 0.3077100937529797
Epoch 77: 0.3075728518391633
Epoch 78: 0.30721927411837424
Epoch 79: 0.30714209620397226
Epoch 80: 0.3070656794174041
Epoch 81: 0.3068061052086379
Epoch 82: 0.3067016269295424
Epoch 83: 0.30672482755696895
Epoch 84: 0.3065444776391223
Epoch 85: 0.30641974407223155
Epoch 86: 0.30628502360836063
Epoch 87: 0.3056375556859947
Epoch 88: 0.30543261026234525
Epoch 89: 0.30504573123598
Epoch 90: 0.30498899803794177
Epoch 91: 0.305010724512255
Epoch 92: 0.30482086485820015
Epoch 93: 0.30499255888148635
Epoch 94: 0.3047849525870061
Epoch 95: 0.3049306370711387
Epoch 96: 0.3047396073701084
Epoch 97: 0.30478645888583106
Epoch 98: 0.3049330390927348
Epoch 99: 0.3048341389855852
Epoch 100: 0.304602983141263
